prefilter_rank,feature_index,status,hits,hit_rate,mean_importance,max_importance,mutual_information,layer_index,aggregation_component,within_component_dim
687,18794,tentative,46,0.46,0.000843444625946595,0.0037371529993680953,0.09682640433311462,9,max,362
688,27355,rejected,3,0.03,0.0002004971836355786,0.0011545810976149253,0.08984984457492828,12,mean,475
689,4116,tentative,42,0.42,0.0008517125475906341,0.0033602729408389017,0.09811711311340332,2,mean,276
690,22279,tentative,43,0.43,0.0008328927558055556,0.002696870421030784,0.08402278274297714,10,mean,7
691,1458,rejected,2,0.02,0.00021540184639867507,0.0018493548148724968,0.10381482541561127,1,min,690
692,4321,tentative,39,0.39,0.0008524955083906065,0.0024994403409073765,0.0753863975405693,2,mean,481
693,17895,rejected,6,0.06,0.0002578602173272994,0.0012957975207890295,0.0875265896320343,8,mean,231
694,8719,rejected,4,0.04,0.00023242942340747836,0.0012300701906803931,0.0633683130145073,4,mean,271
695,25721,rejected,4,0.04,0.00026204904010733633,0.0011743294491040643,0.07345546036958694,12,max,377
696,11379,rejected,22,0.22,0.000577405384770045,0.0026883397231357857,0.062132544815540314,5,mean,627
697,2056,rejected,21,0.21,0.0005314074686230913,0.0021919576081149447,0.11503685265779495,1,mean,520
698,20071,tentative,63,0.63,0.001385182506864646,0.00392805936062415,0.09943222999572754,9,mean,103
699,1821,rejected,5,0.05,0.00020951531864521377,0.0014166594647481762,0.07038585841655731,1,mean,285
700,10725,confirmed,96,0.96,0.004158668441486727,0.009103808292364924,0.1272585242986679,5,min,741
701,21727,rejected,2,0.02,0.00017763767089844476,0.0009097020220621973,0.12121391296386719,10,min,223
702,27522,tentative,38,0.38,0.0007898525406908757,0.0029214556823340928,0.07472806423902512,12,mean,642
703,20594,tentative,45,0.45,0.0008574271744694442,0.0036041003354537705,0.08772169798612595,9,mean,626
704,16860,confirmed,76,0.76,0.0020527286308354878,0.006220212289661162,0.12843793630599976,8,max,732
705,4916,rejected,1,0.01,0.00028795333288159065,0.0014242899166554926,0.08104302734136581,3,max,308
706,8889,tentative,54,0.54,0.0010358865078090797,0.003829306928917099,0.10358131676912308,4,mean,441
707,22716,rejected,6,0.06,0.00025283482591211015,0.0010761875468587674,0.06804882735013962,10,mean,444
708,3233,rejected,15,0.15,0.0003970930540088311,0.00150850321346042,0.08687897771596909,2,min,161
709,2213,tentative,42,0.42,0.0008978155077590316,0.0035015567576146796,0.0820208191871643,1,mean,677
710,15272,tentative,64,0.64,0.0011969986488000633,0.0033748620948130382,0.0816941112279892,7,min,680
711,4166,rejected,8,0.08,0.00029705065105096546,0.0014058186757056918,0.07038003206253052,2,mean,326
712,15510,confirmed,76,0.76,0.0018073582867192436,0.006354271691047465,0.11847919970750809,7,mean,150
713,17940,confirmed,100,1.0,0.009488948931500166,0.01925652837683218,0.1282716691493988,8,mean,276
714,17365,rejected,9,0.09,0.00036270392186506164,0.0020162394194539962,0.10550630837678909,8,min,469
715,20316,tentative,48,0.48,0.0009581394464803659,0.002879622908078519,0.09633100032806396,9,mean,348
716,12745,rejected,1,0.01,0.00022028491280121534,0.0008150327739817091,0.0953374132514,6,min,457
717,2300,rejected,7,0.07,0.00023534553663949684,0.0015765211036556266,0.07092241197824478,1,mean,764
718,21124,confirmed,70,0.7,0.0014581129564558417,0.003947170392902587,0.07583373785018921,10,max,388
719,16441,rejected,6,0.06,0.00024453525601956226,0.0014024431202721349,0.07909801602363586,8,max,313
720,10803,rejected,11,0.11,0.0003906948956906986,0.0016885474987283146,0.08248511701822281,5,mean,51
721,3277,rejected,23,0.23,0.0005077262237625516,0.0027356990628695983,0.11413967609405518,2,min,205
